# crate	file	line	item	transpiled_type	class	safe_type	evidence
mfsbdev	mfsbdev/src/mfsclient/chunkrwlock.rs	172	glock	pthread_mutex_t	BUF	Mutex<pthread_mutex_t> or thread_local	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/chunkrwlock.rs	187	hashtab	[*mut chunkrec; 1024]	BUF	Mutex<[…; N]> or thread_local	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/chunkrwlock.rs	188	freeblocks	*mut chunkrec	UNKNOWN	Option<NonNull<_>> + per-site analysis	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/chunkrwlock.rs	189	freeblockscnt	uint32_t	STATIC	AtomicU32	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/chunkrwlock.rs	22	stderr	*mut FILE	UNKNOWN	Option<NonNull<_>> + per-site analysis	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/chunksdatacache.rs	145	chunks_inode_hash	*mut *mut chunks_inode_entry =	UNKNOWN	Option<NonNull<_>> + per-site analysis	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/chunksdatacache.rs	147	chunks_data_hash	*mut *mut chunks_data_entry =	UNKNOWN	Option<NonNull<_>> + per-site analysis	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/chunksdatacache.rs	149	lock	pthread_mutex_t	BUF	Mutex<pthread_mutex_t> or thread_local	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/chunksdatacache.rs	21	stderr	*mut FILE	UNKNOWN	Option<NonNull<_>> + per-site analysis	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/csdb.rs	59	csdbhtab	[*mut csdbentry; 256]	BUF	Mutex<[…; N]> or thread_local	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/csdb.rs	60	csdblock	*mut pthread_mutex_t	UNKNOWN	Option<NonNull<_>> + per-site analysis	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/csorder.rs	111	stack	[uint8_t; 128]	BUF	Mutex<[…; N]> or thread_local	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/csorder.rs	85	pd	parser_data	BUF	Mutex<parser_data> or thread_local	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/extrapackets.rs	200	ep_tail	*mut *mut extra_packets	UNKNOWN	Option<NonNull<_>> + per-site analysis	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/extrapackets.rs	201	ep_head	*mut extra_packets	UNKNOWN	Option<NonNull<_>> + per-site analysis	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/extrapackets.rs	202	ep_unused	*mut extra_packets	UNKNOWN	Option<NonNull<_>> + per-site analysis	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/extrapackets.rs	203	ep_unused_cnt	uint32_t	STATIC	AtomicU32	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/extrapackets.rs	204	ep_lock	pthread_mutex_t	BUF	Mutex<pthread_mutex_t> or thread_local	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/extrapackets.rs	219	ep_cond	pthread_cond_t	BUF	Mutex<pthread_cond_t> or thread_local	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/extrapackets.rs	231	ep_worker	pthread_t	BUF	Mutex<pthread_t> or thread_local	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/extrapackets.rs	30	stderr	*mut FILE	UNKNOWN	Option<NonNull<_>> + per-site analysis	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/heapsorter.rs	10	stderr	*mut FILE	UNKNOWN	Option<NonNull<_>> + per-site analysis	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/heapsorter.rs	85	heap	*mut uint32_t	UNKNOWN	Option<NonNull<_>> + per-site analysis	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/heapsorter.rs	86	heapsize	uint32_t	STATIC	AtomicU32	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/heapsorter.rs	87	heapelements	uint32_t	STATIC	AtomicU32	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/inoleng.rs	200	ileng_used	uint64_t	STATIC	AtomicU64	auto:type-shape
mfsbdev	mfsbdev/src/mfsclient/inoleng.rs	201	ileng_lock	pthread_mutex_t	BUF	Mutex<pthread_mutex_t> or thread_local	auto:type-shape
